ma_don,lay_lat,lay_lon,giao_lat,giao_lon,khoi_luong_tan,khung_gio_bat_dau_h,khung_gio_ket_thuc_h
DH044,10.773065,106.70888,10.877354,106.950757,1.87,1.3,3.1
DH045,10.768956,106.706502,11.027673,106.966422,2.73,1.9,4.0
DH046,10.784192,106.710424,11.080481,106.693826,1.98,1.4,5.2
DH047,10.785516,106.706945,11.036463,106.97885,0.37,6.6,8.9
DH048,10.784343,106.708072,11.068438,106.93645,1.02,7.1,8.9
DH049,10.771452,106.691373,10.68346,106.939952,1.54,2.7,6.2
DH050,10.77973,106.698894,10.665878,106.646957,2.63,8.7,10.9
DH051,10.770471,106.710151,11.13869,106.771729,2.84,1.0,4.9
DH052,10.779024,106.701128,10.70928,106.515042,1.47,6.6,8.9
DH053,10.785412,106.701669,10.781117,106.795953,0.99,6.4,7.9
DH054,10.780185,106.697504,10.981658,106.89517,2.11,3.3,5.0
DH055,10.775068,106.698948,10.738349,106.958809,2.24,2.7,5.0
DH056,10.784956,106.70321,10.727393,106.526373,1.44,8.5,11.7
DH057,10.7785,106.703994,10.73057,106.778762,0.3,2.6,5.2
DH058,10.78282,106.694294,10.828993,106.715296,0.88,4.3,8.1
DH059,10.781923,106.704356,10.600877,106.759271,2.01,3.0,6.5
DH060,10.783895,106.692357,10.684784,106.569478,0.37,2.2,4.9
DH061,10.77178,106.704021,10.798665,106.827859,0.82,6.3,9.0
DH062,10.770418,106.710059,10.553327,106.900579,2.38,1.0,3.6
DH063,10.782928,106.704252,10.860775,106.480131,0.97,7.6,10.2
DH064,10.781285,106.700996,11.142735,106.807271,2.87,8.0,11.0
DH065,10.772084,106.695845,11.048342,106.778723,2.72,6.7,9.4
DH066,10.76845,106.696615,10.932597,106.909488,1.71,5.6,7.8
DH067,10.780779,106.705028,10.713029,106.641826,1.76,1.2,3.3
DH068,10.775303,106.708997,10.588537,106.69456,1.77,3.7,5.7
DH069,10.767018,106.697935,10.900448,106.867314,2.61,6.9,9.4
DH070,10.777823,106.702965,11.002085,106.962069,2.87,3.8,7.2
DH071,10.780483,106.698986,10.682323,106.581653,1.48,0.3,2.6
DH072,10.77478,106.702188,10.649027,106.730434,0.64,5.6,7.2
DH073,10.774482,106.695133,10.566261,106.83565,0.67,4.2,5.8
DH074,10.771945,106.692538,10.746107,106.906738,1.32,6.8,10.4
DH075,10.782525,106.703935,10.56163,106.773651,3.0,3.1,6.2
DH076,10.769424,106.704289,11.00254,107.019767,0.84,0.2,2.1
DH077,10.779045,106.705859,10.888382,106.580779,2.19,6.9,8.8
DH078,10.773139,106.704447,10.61872,106.941581,2.9,1.0,2.6
DH079,10.779445,106.692938,11.124904,106.687993,2.23,0.7,3.9
DH080,10.782553,106.697844,11.013489,106.960176,1.92,1.1,5.1
DH081,10.783347,106.693011,10.807027,106.672343,1.67,3.1,6.7
DH082,10.781576,106.710209,11.126473,106.831351,2.54,6.4,9.0
DH083,10.781521,106.696268,10.712049,106.93492,1.75,4.4,7.0
DH084,10.776194,106.703107,11.061028,106.948439,0.53,7.9,10.0
DH085,10.782857,106.697707,10.777394,106.46722,2.6,1.6,3.6
DH086,10.768612,106.705301,11.078192,106.87071,1.05,0.1,4.0
DH087,10.782759,106.692761,10.843147,106.904899,2.16,5.8,8.5
DH088,10.777518,106.69941,10.682958,106.865072,1.13,5.2,7.9
DH089,10.769313,106.694752,10.997561,106.648475,2.2,2.4,4.5
DH090,10.776584,106.705392,10.621733,106.771518,2.36,1.7,3.7
DH091,10.77145,106.694489,11.135964,106.764782,1.06,0.9,2.9
DH092,10.780848,106.693426,10.558489,106.770481,1.04,8.8,11.7
DH093,10.775709,106.694587,11.071077,106.744527,2.66,5.2,7.9
DH094,10.768382,106.703489,10.580826,107.014638,1.59,7.4,9.9
DH095,10.769269,106.706189,10.582165,106.539519,1.82,2.7,6.7
DH096,10.775754,106.708103,10.913791,106.924444,0.91,4.7,7.3
DH097,10.785852,106.695056,11.144019,106.633228,1.98,5.5,8.9
DH098,10.766954,106.69991,10.676615,106.846257,0.72,1.6,3.3
DH099,10.775981,106.704648,10.906287,106.624756,0.92,6.4,9.7
DH100,10.775403,106.701791,11.104347,106.922697,1.99,6.0,9.8
